,Hoja1 * s_GENERA,Hoja1 * s_B_C_D,Hoja1 * s_B,Hoja1 * s_C,Hoja1 * s_D,Hoja1 * s_E,Hoja1 * s_08,Hoja1 * s_10,Hoja1 * s_11,Hoja1 * s_13,Hoja1 * s_14,Hoja1 * s_15,Hoja1 * s_16,Hoja1 * s_17,Hoja1 * s_18,Hoja1 * s_19,Hoja1 * s_20,Hoja1 * s_21,Hoja1 * s_22,Hoja1 * s_23,Hoja1 * s_24,Hoja1 * s_25,Hoja1 * s_26,Hoja1 * s_27,Hoja1 * s_28,Hoja1 * s_29,Hoja1 * s_30,Hoja1 * s_31,Hoja1 * s_32,Hoja1 * s_35,Hoja1 * s_33,Hoja1 * s_36,Hoja1 * s_CD,Hoja1 * s_CN,Hoja1 * s_EN,Hoja1 * s_EQ,Hoja1 * s_IN,Hoja1 * s_XC,Hoja1 * s_EN_X_E,Hoja1 * s_051,Hoja1 * s_061,Hoja1 * s_072,Hoja1 * s_081
1994-09-30,105.796623187,106.292258848,367.281099971,109.388306792,69.048090555,,205.460385224,80.944585731,84.675490171,221.301392485,478.706820517,282.601874269,220.20135878,74.747163172,99.488687235,91.532861934,88.806421994,44.596348969,78.332842769,189.410375999,88.879974,139.196744215,214.429969909,105.836364862,95.83758288,79.285055714,95.086714452,239.872715707,97.771372186,69.048090555,,,220.906512172,99.72515499,79.594143331,105.165080928,116.378293925,108.893807817,81.857599145,825.461510313,331.370434496,4543.037165781,201.522065442
1994-10-31,105.28920533,105.782463842,345.84671401,109.132726636,68.04090609,,182.236804447,82.195810006,79.230478336,220.514403181,395.612071824,276.358344488,222.849070509,76.692637282,106.121266384,92.847179951,85.57887582,55.471838978,76.917188984,194.569413477,92.728129299,139.032014341,208.260309649,102.705993507,96.071904599,78.627088447,93.295441966,245.445260316,94.565753426,68.04090609,,,219.487412522,98.559398662,78.830911819,104.242580218,116.806680283,107.619518577,81.072663263,781.072216711,299.293150539,5963.880325981,199.673239154
1994-11-30,110.109674971,110.625516403,347.294983332,114.499909913,69.15999994,,177.865306889,85.179498659,84.230999409,232.16184489,391.964009687,281.123143531,248.884902509,81.709912619,115.66570955,92.659420234,84.600831525,56.361029986,80.692265744,196.043424186,94.341871844,143.479720961,226.495083305,113.438695295,109.428242555,85.535744754,99.863441081,266.722248827,105.678565128,69.15999994,,,244.321656396,102.056667647,79.812209477,111.622585897,121.947316579,112.600831062,82.08186654,796.317024615,314.513857339,6380.560392722,198.13255058
1994-12-31,100.849299081,101.321757535,312.826173477,102.871012813,76.434109966,,157.920349281,80.752089689,75.563429549,204.617219225,335.216376433,230.846298458,223.069713153,72.289722191,97.385674334,90.969582783,80.786458774,42.681168339,62.996593431,179.092301042,78.452714481,126.842003605,233.076054248,97.78683852,116.69221583,67.880289747,85.831806609,246.96504521,95.741146971,76.434109966,,,211.445847839,89.657259428,84.173532399,103.979008587,109.095725839,98.699493894,86.567214438,681.532588635,312.877986982,5747.439210874,179.336149981
1995-01-31,105.162350865,105.65501509,331.074366929,106.832505231,83.036763682,,186.335083408,85.564490744,59.784007496,220.35700532,380.209142798,250.56270829,231.674776272,78.740504766,101.26815969,86.275589864,86.948137833,44.391151044,79.512554256,183.514333166,95.210810137,136.725796093,181.799322314,110.755519848,88.690770465,83.890826586,103.893804173,230.24741138,84.52148131,83.036763682,,,199.383500815,92.730617021,88.207756102,104.242580218,117.806248451,100.900538946,90.716161244,677.048821604,300.217772914,5742.368304749,208.609232881
1995-02-28,102.498407116,102.978591306,338.026059673,105.554604451,69.83145625,,182.236804447,74.784712382,54.005627589,218.310833127,432.092693202,268.63608397,228.585779255,75.259130043,93.664959202,81.675476802,84.796440384,53.283061115,78.804727364,183.760001618,88.755839959,134.419577846,192.76760722,108.370475006,99.938212955,82.245908417,116.581984281,238.859525777,88.475077781,69.83145625,,,214.757080356,90.505082212,77.304448796,106.482939085,115.093134851,99.742094182,79.502791498,740.269936734,269.847484112,6849.310007726,208.917370596
1995-03-31,115.056999077,115.596017716,379.156908408,118.972562644,76.098381811,,216.935566314,80.367097605,77.008024526,241.133522964,448.914313059,306.097262653,253.739040679,83.245813232,110.489062409,85.524550996,95.065905482,53.967054197,86.236909735,212.011873524,103.776059028,154.351892698,220.325423045,125.960180716,116.69221583,94.966608919,125.986164831,262.416191628,102.152384492,76.098381811,,,244.321656396,100.149066382,83.410300888,121.242950443,131.371816455,110.74731944,85.782278556,810.665079113,289.406803598,6634.229379628,244.045070077
1995-04-30,98.312209796,98.772782503,336.577790352,101.209741798,67.59326855,,191.253018161,69.106079138,74.341079953,204.302423503,308.869260994,230.681995043,217.112361763,73.211262559,103.85648326,81.487717085,84.600831525,44.733147586,71.018631546,191.867060512,91.114386755,130.466060851,179.057251087,97.339642612,102.047108421,75.885558166,109.566167045,217.075942303,80.247322964,67.59326855,,,191.105419524,83.828477787,75.232820408,103.451865324,112.951203061,91.864669786,77.372251247,698.122526647,274.541720789,7031.491586327,210.766196885
1995-05-31,113.027327649,113.55683769,383.791370237,117.439081708,70.391003175,,207.099696808,79.789609478,92.787446578,235.781995692,353.051346884,243.661964849,241.603695255,83.552993354,110.165521963,86.932748872,92.131772597,56.97662376,86.000967437,217.416579454,104.272595196,152.539864075,228.688740286,118.208784979,115.286285518,93.760335596,132.554163945,257.856836947,94.99316926,70.391003175,,,238.645257796,97.711575878,79.92124255,121.111164627,129.801066475,108.082896483,82.194000237,900.340419722,278.382459888,6571.523296565,233.260250061
1995-06-30,113.788454435,114.3215302,389.584447524,118.205822176,70.72673133,,223.219594053,81.907065942,104.121961011,232.004447029,392.572020043,243.826268264,233.660560068,79.764438509,104.665334376,85.055151704,88.708617564,56.087432753,84.82125595,214.714226489,99.679635646,156.163921321,231.979225758,118.954111492,120.910006763,93.869996807,137.778708696,249.751317515,98.519349897,70.72673133,,,233.441892413,100.890911319,79.485110258,122.824380231,128.658702854,110.863163916,81.745465448,864.470283479,266.646868196,6838.05506974,241.888106074
